,Name,Type
0,Brigadoon,['Revival']
1,"Harry Connick, Jr. in Concert on Broadway",['Original']
2,Brief Encounter,['Original']
3,The Pitmen Painters,['Original']
4,Mrs. Warren's Profession,"['Comedy', 'Revival']"
5,A Life in the Theatre,['Original']
6,Bloody Bloody Andrew Jackson,"['Musical', 'Original']"
7,La B̻te,['Revival']
8,The Normal Heart,['Original']
9,Lombardi,"['Play', 'Original']"
10,Driving Miss Daisy,['Original']
11,Rain: A Tribute to the Beatles,['Original']
12,The Scottsboro Boys,['Original']
13,Women on the Verge of a Nervous Breakdown,"['Musical', 'Original']"
14,Colin Quinn: Long Story Short,['Original']
15,The Pee-wee Herman Show,['Original']
16,The Merchant of Venice,['Revival']
17,Elf,['Original']
18,A Free Man of Color,['Original']
19,Elling,['Original']
20,Donny & Marie - A Broadway Christmas,['Original']
21,The Importance of Being Earnest,['Revival']
22,Good People,['Original']
23,That Championship Season,['Revival']
24,Kathy Griffin Wants a Tony,['Original']
25,Arcadia,"['Play', 'Revival']"
26,Priscilla Queen of the Desert,['Original']
27,Ghetto Klown,"['Solo', 'Original']"
28,The Book of Mormon,"['Musical', 'Original']"
29,How to Succeed in Business Without Really Trying,"['Musical', 'Revival']"
30,Bengal Tiger at the Baghdad Zoo,"['Comedy', 'Original']"
31,Anything Goes,['Revival']
32,Catch Me If You Can,['Original']
33,The Motherf**ker With the Hat,['Original']
34,War Horse,['Original']
35,Wonderland,"['Musical', 'Original']"
36,High,"['Drama', 'Original']"
37,Sister Act,['Original']
38,Jerusalem,['Original']
39,Born Yesterday,['Revival']
40,The House of Blue Leaves,['Revival']
41,Baby It's You!,['Original']
42,The Normal Heart,['Original']
43,The People in the Picture,['Original']
